state,district,year,JAN-RF,JAN-DEP,FEB-RF,FEB-DEP,MAR-RF,MAR-DEP,APR-RF,APR-DEP,MAY-RF,MAY-DEP,JUN-RF,JUN-DEP,JUL-RF,JUL-DEP,AUG-RF,AUG-DEP,SEP-RF,SEP-DEP,OCT-RF,OCT-DEP,NOV-RF,NOV-DEP,DEC-RF,DEC-DEP
punjab,kapurthala.txt,2012,90.4,228,1.6,-92,1.7,-93,36.2,281,1.0,-93,0.8,-98,76.9,-54,118.4,-13,261.2,216,1.7,-95,0.7,-87
hp,lahaulandspiti.txt,2008,1.0,-99,10.8,-80,24.3,-85,85.9,-37,84.2,-20,28.4,-54,0.0,-100
hp,lahaulandspiti.txt,2009,71.2,-51,72.6,-49,31.2,-84,81.5,-29,62.2,-38,31.6,-40,40.0,-75,32.9,-76,112.1,6,14.1,-77,40.1,24
hp,lahaulandspiti.txt,2010,16.6,-89,86.6,-39,57.7,-70,103.7,-10,134.3,33,100.0,89,143.5,-11,42.9,-68,44.5,-58,27.7,-55,4.3,-87
hp,lahaulandspiti.txt,2011,36.4,-73,81.3,-41,66.7,-62,74.5,-32,21.1,-77,22.5,-57,4.3,-97,108.6,-22,40.2,-60,10.7,-80,1.2,-96
hp,lahaulandspiti.txt,2012,44.0,-67,75.4,-45,73.7,-58,63.6,-42,27.0,-71,19.6,-63,5.0,-97,33.4,-76,68.5,-32,0.3,-99,6.4,-78
bihar,supaul.txt,2008,1.2,-90,0.0,-100,2.4,-86,10.8,-64,0.8,-99,98.3,-73,83.1,-69,37.5,-83,9.0,-87,0.0,-100
bihar,supaul.txt,2009,0.0,-100,0.0,-100,0.0,-100,0.0,-100,184.8,342.6,97.0,45.0
bihar,supaul.txt,2010,0.0,-100,11.0,-63,250.2,205,100.1,-52,262.6,-29,107.4,-60,141.6,-37,20.7,-70,0.2,-96
bihar,supaul.txt,2011,1.4,-82,4.1,-53,5.8,-54,67.5,193,153.8,85,204.2,2,366.7,-2,258.5,-4,209.0,0,10.1,-86,10.3,129
bihar,supaul.txt,2012,5.8,-24,0.0,-100,5.5,-57,42.4,84,45.4,-45,160.7,-20,306.4,-18,159.0,-41,131.0,-38,33.0,-56,0.0,-100
tn,pudukottai.txt,2008,7.7,-68,55.2,286,161.6,818,12.2,-72,6.1,-89,44.5,-1,64.4,-16,146.0,35,37.3,-69,165.9,-3,329.8,129
tn,pudukottai.txt,2009,3.7,-85,0.0,-100,3.5,-80,38.9,-10,38.5,-28,30.6,-32,22.0,-71,33.2,-69,119.7,-1,33.0,-81,295.6,105
tn,pudukottai.txt,2010,1.5,-94,0.0,-100,0.0,-100,11.1,-74,117.8,119,49.7,10,50.6,-34,105.4,-3,161.6,34,107.6,-37,246.0,70
tn,pudukottai.txt,2011,13.7,-41,4.3,-57,6.2,-54,69.2,102,46.3,-7,47.5,7,79.4,0,142.0,30,118.1,0,197.7,25,268.2,82
tn,pudukottai.txt,2012,2.9,-88,0.0,-100,0.0,-100,27.6,-19,33.1,-34,14.4,-68,36.1,-54,107.6,-1,139.5,19,221.8,40,55.2,-62
rajasthan,bhilwara.txt,2008,0.0,-100,0.0,-100,0.0,-100,13.1,424,4.1,-63,94.3,50,128.7,-42,144.3,-41,120.7,20,0.0,-100,0.1,-99
rajasthan,bhilwara.txt,2009,0.0,-100,0.0,-100,7.4,100,0.0,-100,1.3,-88,25.3,-60,214.6,-3,88.8,-64,12.5,-88,4.5,-63,4.2,-48
rajasthan,bhilwara.txt,2010,2.2,-49,0.0,-100,0.0,-100,0.0,-100,0.0,-100,29.5,-53,147.4,-33,262.1,7,126.7,26,0.0,-100,132.4,1535
rajasthan,bhilwara.txt,2011,0.0,-100,1.9,-50,0.0,-100,0.0,-100,0.0,-100,128.0,113,167.9,-21,287.5,32,133.7,49,0.0,-100,0.0,-100
rajasthan,bhilwara.txt,2012,0.0,-100,0.0,-100,0.0,-100,6.5,117,19.5,88,18.2,-70,118.0,-45,349.0,60,129.7,45,0.0,-100,0.1,-99
